"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"297","RT @kayyythemodel: The Flu, The Pregnant, The Stupid. Keep that shit  away from me",FALSE,0,NA,2019-03-02 16:24:12,FALSE,NA,"1101880897354252295",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Always_Nee",8243,TRUE,FALSE,NA,NA
"298","@jenrunswithdogs Get well soon, Jen! The flu is atrocious 😒💛🧡✨",FALSE,1,"jenrunswithdogs",2019-03-02 16:24:12,FALSE,"1101687592922304512","1101880896444088320","890324687393370112","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theglamoctopus",0,FALSE,FALSE,NA,NA
"299","RT @ShawnMendes: Also sorry I haven’t been active I’ve been fighting off a crazy flu! I have been watching you though lol",FALSE,0,NA,2019-03-02 16:24:10,FALSE,NA,"1101880888500125698",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kydrauhlmendes",18075,TRUE,FALSE,NA,NA
"300","Ep.1.The Stuffy Nose Menace
Ep.2. Attack of the Viruses
Ep.3 The Revenge of The Flu
Ep.4 Fever Wars: The New Block… https://t.co/a09HOkgnoO",FALSE,0,NA,2019-03-02 16:24:02,TRUE,NA,"1101880856501735424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShaniSteelArts",0,FALSE,FALSE,NA,NA
"301","RT @christufton: #FluAlert! Young Rickayla Francis of Half Way Tree Primary school gives us tips on how to prevent or treat with the flu 😷.…",FALSE,0,NA,2019-03-02 16:23:55,FALSE,NA,"1101880826235625473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TerrencePeter",10,TRUE,FALSE,NA,NA
"302","Since Thursday I’ve lost 10 pounds #flu",FALSE,0,NA,2019-03-02 16:23:53,FALSE,NA,"1101880818731872257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","phreeker27",0,FALSE,FALSE,NA,NA
"303","RT @FiersaBesari: “Berboncengan denganmu, mengelilingi kota, menikmati surya perlahan menghilang. Hingga, kejamnya waktu menarik paksa aku…",FALSE,0,NA,2019-03-02 16:23:45,FALSE,NA,"1101880782384128000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BarakRozano",2557,TRUE,FALSE,NA,NA
"304","RT @classmonitorUG: My crush just told me I sound sexy when I have flu😂I'm not buying medicine, let me stay with my flu to make her happy😆😆",FALSE,0,NA,2019-03-02 16:23:42,FALSE,NA,"1101880770505990144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MamuNamakula",80,TRUE,FALSE,NA,NA
"305","RT @kayyythemodel: The Flu, The Pregnant, The Stupid. Keep that shit  away from me",FALSE,0,NA,2019-03-02 16:23:39,FALSE,NA,"1101880757788774401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaynaycee",8243,TRUE,FALSE,NA,NA
"306","Today's important lesson:
If you have a cold, or the flu, smoke weed.
Not only will you get a *much* stronger high,… https://t.co/fECCPHbRB5",FALSE,0,NA,2019-03-02 16:23:37,TRUE,NA,"1101880751648395270",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DoubleThePsycho",0,FALSE,FALSE,NA,NA
